<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MRKY;60;16/08/24;16:00:00;0.0732;0.0739;0.0729;0.0735;24480000
MRKY;60;16/08/24;17:00:00;0.07345;0.07455;0.0731;0.0739;19780000
MRKY;60;16/08/24;18:00:00;0.07385;0.0739;0.0731;0.07365;7390000
MRKY;60;16/08/24;19:00:00;0.0734;0.07355;0.07255;0.0728;5660000
MRKY;60;19/08/24;11:00:00;0.073;0.0743;0.07105;0.0726;42870000
MRKY;60;19/08/24;12:00:00;0.0726;0.07265;0.07135;0.072;16360000
MRKY;60;19/08/24;13:00:00;0.0718;0.072;0.071;0.071;7990000
MRKY;60;19/08/24;14:00:00;0.071;0.071;0.07005;0.07025;26550000
MRKY;60;19/08/24;15:00:00;0.07025;0.07095;0.0701;0.07045;18220000
MRKY;60;19/08/24;16:00:00;0.07035;0.07065;0.07005;0.07025;6260000
MRKY;60;19/08/24;17:00:00;0.0703;0.07065;0.07005;0.0706;4400000
MRKY;60;19/08/24;18:00:00;0.07055;0.07075;0.07;0.0704;8260000
MRKY;60;19/08/24;19:00:00;0.0704;0.0704;0.07;0.0702;5530000
MRKY;60;20/08/24;11:00:00;0.0704;0.0704;0.0685;0.06885;26550000
MRKY;60;20/08/24;12:00:00;0.06885;0.0691;0.06855;0.0691;9550000
MRKY;60;20/08/24;13:00:00;0.069;0.0695;0.0689;0.0694;8710000
MRKY;60;20/08/24;14:00:00;0.0694;0.0695;0.06915;0.0695;3450000
MRKY;60;20/08/24;15:00:00;0.0695;0.07055;0.06945;0.06985;10860000
MRKY;60;20/08/24;16:00:00;0.0698;0.07045;0.0696;0.0703;5990000
MRKY;60;20/08/24;17:00:00;0.0702;0.0702;0.06965;0.0701;2240000
MRKY;60;20/08/24;18:00:00;0.0699;0.0703;0.06985;0.07025;3040000
MRKY;60;20/08/24;19:00:00;0.07025;0.07025;0.06905;0.0695;12990000
MRKY;60;21/08/24;11:00:00;0.06905;0.07025;0.06865;0.07025;19130000
MRKY;60;21/08/24;12:00:00;0.07025;0.07055;0.0697;0.0698;24750000
MRKY;60;21/08/24;13:00:00;0.0698;0.07025;0.0696;0.06975;14330000
MRKY;60;21/08/24;14:00:00;0.06995;0.07015;0.06925;0.06985;8900000
MRKY;60;21/08/24;15:00:00;0.06985;0.07025;0.0697;0.07005;3820000
MRKY;60;21/08/24;16:00:00;0.07025;0.07185;0.0702;0.07075;9810000
MRKY;60;21/08/24;17:00:00;0.0707;0.0711;0.0705;0.07095;4170000
MRKY;60;21/08/24;18:00:00;0.07095;0.0716;0.07095;0.07105;9040000
MRKY;60;21/08/24;19:00:00;0.0712;0.0712;0.0697;0.07055;7740000
MRKY;60;22/08/24;11:00:00;0.06995;0.07025;0.06765;0.0686;64810000
MRKY;60;22/08/24;12:00:00;0.0684;0.06885;0.06835;0.0686;7690000
MRKY;60;22/08/24;13:00:00;0.06865;0.06875;0.06845;0.0686;3370000
MRKY;60;22/08/24;14:00:00;0.06855;0.06875;0.0682;0.0682;5020000
MRKY;60;22/08/24;15:00:00;0.0682;0.0682;0.0677;0.0678;9490000
MRKY;60;22/08/24;16:00:00;0.06785;0.0683;0.0674;0.0674;10240000
MRKY;60;22/08/24;17:00:00;0.0674;0.0679;0.0674;0.0674;11210000
MRKY;60;22/08/24;18:00:00;0.0675;0.0679;0.0674;0.0675;10730000
MRKY;60;22/08/24;19:00:00;0.0675;0.06765;0.0673;0.06765;4650000
MRKY;60;23/08/24;11:00:00;0.06725;0.06745;0.06565;0.06565;31330000
MRKY;60;23/08/24;12:00:00;0.06565;0.06665;0.06535;0.06645;8040000
MRKY;60;23/08/24;13:00:00;0.0664;0.0668;0.0664;0.0665;2760000
MRKY;60;23/08/24;14:00:00;0.0665;0.0665;0.06635;0.06635;2320000
MRKY;60;23/08/24;15:00:00;0.0664;0.06645;0.06635;0.06645;780000
MRKY;60;23/08/24;16:00:00;0.0664;0.0664;0.06525;0.0657;8520000
MRKY;60;23/08/24;17:00:00;0.0657;0.06575;0.0652;0.0657;6360000
MRKY;60;23/08/24;18:00:00;0.06575;0.0659;0.06565;0.0658;4790000
MRKY;60;23/08/24;19:00:00;0.0658;0.0659;0.06535;0.06535;4420000
MRKY;60;26/08/24;11:00:00;0.0658;0.06955;0.0658;0.0685;39610000
MRKY;60;26/08/24;12:00:00;0.0685;0.0692;0.06645;0.067;28430000
MRKY;60;26/08/24;13:00:00;0.0672;0.0684;0.0672;0.06805;6810000
MRKY;60;26/08/24;14:00:00;0.06805;0.0685;0.06805;0.0684;2740000
MRKY;60;26/08/24;15:00:00;0.06845;0.0697;0.06845;0.06895;16710000
MRKY;60;26/08/24;16:00:00;0.06905;0.0693;0.06895;0.06905;4880000
MRKY;60;26/08/24;17:00:00;0.06905;0.06965;0.06885;0.06885;10160000
MRKY;60;26/08/24;18:00:00;0.06885;0.06885;0.0686;0.0687;1360000
MRKY;60;26/08/24;19:00:00;0.06885;0.06885;0.06845;0.06845;1390000
MRKY;60;27/08/24;11:00:00;0.06895;0.06945;0.06845;0.06865;14260000
MRKY;60;27/08/24;12:00:00;0.06895;0.069;0.06825;0.06825;5230000
MRKY;60;27/08/24;13:00:00;0.06825;0.0683;0.0673;0.06805;3940000
MRKY;60;27/08/24;14:00:00;0.068;0.0681;0.0675;0.0675;1440000
MRKY;60;27/08/24;15:00:00;0.0675;0.0675;0.0674;0.0674;310000
MRKY;60;27/08/24;16:00:00;0.06735;0.06735;0.0662;0.06655;4840000
MRKY;60;27/08/24;17:00:00;0.06635;0.0666;0.06635;0.06645;350000
MRKY;60;27/08/24;18:00:00;0.06645;0.06675;0.06645;0.0667;1340000
MRKY;60;27/08/24;19:00:00;0.06675;0.0669;0.0667;0.0667;1140000
MRKY;60;28/08/24;11:00:00;0.06695;0.0681;0.06695;0.06745;4900000
MRKY;60;28/08/24;12:00:00;0.06745;0.068;0.067;0.06705;10150000
MRKY;60;28/08/24;13:00:00;0.067;0.067;0.0664;0.0666;5650000
MRKY;60;28/08/24;14:00:00;0.06635;0.06755;0.0654;0.0658;22920000
MRKY;60;28/08/24;15:00:00;0.06565;0.06635;0.06525;0.06555;3370000
MRKY;60;28/08/24;16:00:00;0.06555;0.0658;0.06535;0.0658;2300000
MRKY;60;28/08/24;17:00:00;0.0658;0.0661;0.0658;0.06595;2620000
MRKY;60;28/08/24;18:00:00;0.06595;0.06615;0.06595;0.066;1620000
MRKY;60;28/08/24;19:00:00;0.066;0.066;0.06585;0.06585;8160000
MRKY;60;29/08/24;11:00:00;0.06615;0.0663;0.06545;0.06595;5810000
MRKY;60;29/08/24;12:00:00;0.066;0.06645;0.06585;0.06635;2130000
MRKY;60;29/08/24;13:00:00;0.06625;0.06625;0.06555;0.06575;2590000
MRKY;60;29/08/24;14:00:00;0.0656;0.06565;0.0651;0.06515;5030000
