<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;;;;;;;;;;<DATE>;<CLOSE>
MRKY;D;27.09.2024;0:00:00;0.06525;0.0655;0.06275;0.064;124100000;;;;;;;;;;27.09.2024;0,064
MRKY;D;28.09.2024;0:00:00;0.0639;0.06585;0.06345;0.06485;71500000;;;;;;;;;;28.09.2024;0,06485
MRKY;D;01.10.2024;0:00:00;0.0646;0.06685;0.0636;0.06385;73590000;;;;;;;;;;01.10.2024;0,06385
MRKY;D;02.10.2024;0:00:00;0.0631;0.0651;0.0625;0.0639;71990000;;;;;;;;;;02.10.2024;0,0639
MRKY;D;03.10.2024;0:00:00;0.0635;0.0653;0.0629;0.0631;40750000;;;;;;;;;;03.10.2024;0,0631
MRKY;D;04.10.2024;0:00:00;0.0629;0.06365;0.0611;0.06205;47070000;;;;;;;;;;04.10.2024;0,06205
MRKY;D;05.10.2024;0:00:00;0.062;0.0625;0.06115;0.06195;18130000;;;;;;;;;;05.10.2024;0,06195
MRKY;D;08.10.2024;0:00:00;0.0619;0.0624;0.0616;0.0617;13380000;;;;;;;;;;08.10.2024;0,0617
MRKY;D;09.10.2024;0:00:00;0.06145;0.062;0.06055;0.0611;25740000;;;;;;;;;;09.10.2024;0,0611
MRKY;D;10.10.2024;0:00:00;0.0611;0.06175;0.0603;0.0607;19950000;;;;;;;;;;10.10.2024;0,0607
MRKY;D;11.10.2024;0:00:00;0.0607;0.0615;0.06055;0.06105;11140000;;;;;;;;;;11.10.2024;0,06105
MRKY;D;12.10.2024;0:00:00;0.0612;0.06125;0.0602;0.06095;13730000;;;;;;;;;;12.10.2024;0,06095
MRKY;D;15.10.2024;0:00:00;0.0604;0.0617;0.06025;0.0617;23630000;;;;;;;;;;15.10.2024;0,0617
MRKY;D;16.10.2024;0:00:00;0.0617;0.06245;0.061;0.0616;45760000;;;;;;;;;;16.10.2024;0,0616
MRKY;D;17.10.2024;0:00:00;0.06165;0.06605;0.0616;0.06325;239180000;;;;;;;;;;17.10.2024;0,06325
MRKY;D;18.10.2024;0:00:00;0.06385;0.0651;0.0633;0.06355;58720000;;;;;;;;;;18.10.2024;0,06355
MRKY;D;19.10.2024;0:00:00;0.0693;0.0693;0.0638;0.0642;186000000;;;;;;;;;;19.10.2024;0,0642
