<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
LKOH;D;09.10.2024;0:00:00;7043;7055;6960.5;6973.5;747643
LKOH;D;10.10.2024;0:00:00;6975;6991;6861;6883.5;967461
LKOH;D;11.10.2024;0:00:00;6891;6904.5;6845;6857;1237538
LKOH;D;12.10.2024;0:00:00;6857;6882.5;6792;6837;1510782
LKOH;D;15.10.2024;0:00:00;6828;6947.5;6785;6931.5;1481412
LKOH;D;16.10.2024;0:00:00;6912;7019;6878.5;6991;823474
LKOH;D;17.10.2024;0:00:00;6997;7055;6928.5;6980;808783
LKOH;D;18.10.2024;0:00:00;6982.5;7009;6924;6931.5;635655
LKOH;D;19.10.2024;0:00:00;6924;6995.5;6906;6963;971124
LKOH;D;22.10.2024;0:00:00;6979;7047;6963;7020;768888
LKOH;D;23.10.2024;0:00:00;7019;7024;6945;6950;737864
LKOH;D;24.10.2024;0:00:00;6945;7016.5;6910;6920;748890
LKOH;D;25.10.2024;0:00:00;6920.5;6986;6890;6958.5;588930
LKOH;D;26.10.2024;0:00:00;6970;7080;6721.5;6750.5;2636435
LKOH;D;29.10.2024;0:00:00;6694;6785;6580;6733.5;2422426
LKOH;D;30.10.2024;0:00:00;6749;6866;6708;6837;1160351
LKOH;D;31.10.2024;0:00:00;6856.5;6894;6773.5;6792;907833
LKOH;D;01.11.2024;0:00:00;6792.5;6869;6747;6794.5;796382
LKOH;D;02.11.2024;0:00:00;6806;6850;6720.5;6844.5;888557
LKOH;D;03.11.2024;0:00:00;6835;6865;6810;6842;381011
LKOH;D;06.11.2024;0:00:00;6867;6920;6821;6873;511736
LKOH;D;07.11.2024;0:00:00;6999.5;7098.5;6933.5;6996.5;1320154
LKOH;D;08.11.2024;0:00:00;6994;7139;6950;7132;671029
LKOH;D;09.11.2024;0:00:00;7148;7192;7061;7172;956239
LKOH;D;12.11.2024;0:00:00;7207;7235;6995;7022.5;1552975
LKOH;D;13.11.2024;0:00:00;7025.5;7071.5;6967;6990;690731
LKOH;D;14.11.2024;0:00:00;6988;7048;6918;6925;739279
LKOH;D;15.11.2024;0:00:00;6921.5;7013.5;6900;6932.5;871228
LKOH;D;16.11.2024;0:00:00;6934.5;7037;6911;7021;505229
LKOH;D;19.11.2024;0:00:00;6956;7008;6874;6955.5;621000
LKOH;D;20.11.2024;0:00:00;6960;6991.5;6810;6842;866035
LKOH;D;21.11.2024;0:00:00;6858;6952.5;6776;6798.5;856399
LKOH;D;22.11.2024;0:00:00;6809.5;6949;6768;6938.5;1044918
LKOH;D;23.11.2024;0:00:00;6940.5;6998;6868;6940;598068
LKOH;D;26.11.2024;0:00:00;6946;6979;6835.5;6886.5;828582
LKOH;D;27.11.2024;0:00:00;6870.5;6930;6820.5;6869.5;985809
LKOH;D;28.11.2024;0:00:00;6870.5;6916.5;6770;6896.5;1480684
LKOH;D;29.11.2024;0:00:00;6940;6940;6818;6905.5;1240033
LKOH;D;30.11.2024;0:00:00;6905;6910;6832;6860.5;1298385
LKOH;D;03.12.2024;0:00:00;6879;6880;6799;6810;1384851
LKOH;D;04.12.2024;0:00:00;6814.5;6823;6713.5;6771;839193
LKOH;D;05.12.2024;0:00:00;6780;6812;6714;6720.5;955724
LKOH;D;06.12.2024;0:00:00;6726;6861;6676.5;6841;975551
LKOH;D;07.12.2024;0:00:00;6859.5;6913.5;6800;6860;640937
LKOH;D;10.12.2024;0:00:00;6878;6997;6844;6973;714117
LKOH;D;11.12.2024;0:00:00;6985;6991;6880;6894;692702
LKOH;D;12.12.2024;0:00:00;6894;6914;6821;6895.5;698882
LKOH;D;13.12.2024;0:00:00;6896.5;6959.5;6862;6862.5;686873
